Date,SPY
2016-09-02,186.0104217529297
2016-09-06,186.57264709472656
2016-09-07,186.55557250976562
2016-09-08,186.1297149658203
2016-09-09,181.67478942871094
2016-09-12,184.2812957763672
2016-09-13,181.63214111328125
2016-09-14,181.56399536132812
2016-09-15,183.37835693359375
2016-09-16,182.66954040527344
2016-09-19,182.70372009277344
2016-09-20,182.71224975585938
2016-09-21,184.76699829101562
2016-09-22,185.9312744140625
2016-09-23,184.91250610351562
2016-09-26,183.41432189941406
2016-09-27,184.55294799804688
2016-09-28,185.468994140625
2016-09-29,183.79095458984375
2016-09-30,185.1779327392578
2016-10-03,184.73272705078125
2016-10-04,183.79095458984375
2016-10-05,184.6042938232422
2016-10-06,184.73272705078125
2016-10-07,184.09918212890625
2016-10-10,185.05807495117188
2016-10-11,182.72084045410156
2016-10-12,182.9605712890625
2016-10-13,182.3612823486328
2016-10-14,182.4554443359375
2016-10-17,181.8219757080078
2016-10-18,182.9605712890625
2016-10-19,183.4486083984375
2016-10-20,183.10609436035156
2016-10-21,183.19174194335938
2016-10-24,183.9707794189453
2016-10-25,183.35433959960938
2016-10-26,182.9862518310547
2016-10-27,182.498291015625
2016-10-28,181.95892333984375
2016-10-31,181.96743774414062
2016-11-01,180.6490478515625
2016-11-02,179.56173706054688
2016-11-03,178.73988342285156
2016-11-04,178.54298400878906
2016-11-07,182.4811553955078
2016-11-08,183.3030242919922
2016-11-09,185.2463836669922
2016-11-10,185.70872497558594
2016-11-11,185.28062438964844
2016-11-14,185.42616271972656
2016-11-15,186.87303161621094
2016-11-16,186.52197265625
2016-11-17,187.4808349609375
2016-11-18,187.06130981445312
2016-11-21,188.47390747070312
2016-11-22,188.8420867919922
2016-11-23,188.9447784423828
2016-11-25,189.64686584472656
2016-11-28,188.75650024414062
2016-11-29,189.12460327148438
2016-11-30,188.67080688476562
2016-12-01,187.9774169921875
2016-12-02,188.07156372070312
2016-12-05,189.20159912109375
2016-12-06,189.80093383789062
2016-12-07,192.28367614746094
2016-12-08,192.75454711914062
2016-12-09,193.9188232421875
2016-12-12,193.6962432861328
2016-12-13,194.98898315429688
2016-12-14,193.3795166015625
2016-12-15,194.17567443847656
2016-12-16,193.79586791992188
2016-12-19,194.21786499023438
2016-12-20,194.9671173095703
2016-12-21,194.42453002929688
2016-12-22,194.08871459960938
2016-12-23,194.3728790283203
2016-12-27,194.8551483154297
2016-12-28,193.24472045898438
2016-12-29,193.20172119140625
2016-12-30,192.4955291748047
2017-01-03,193.9681396484375
2017-01-04,195.12208557128906
2017-01-05,194.9671173095703
2017-01-06,195.66464233398438
2017-01-09,195.018798828125
2017-01-10,195.018798828125
2017-01-11,195.56991577148438
2017-01-12,195.07904052734375
2017-01-13,195.52685546875
2017-01-17,194.83790588378906
2017-01-18,195.26852416992188
2017-01-19,194.5450897216797
2017-01-20,195.2598876953125
2017-01-23,194.7517852783203
2017-01-24,196.00050354003906
2017-01-25,197.69699096679688
2017-01-26,197.49024963378906
2017-01-27,197.1802978515625
2017-01-30,195.95742797851562
2017-01-31,195.940185546875
2017-02-01,196.01773071289062
2017-02-02,196.14688110351562
2017-02-03,197.4989013671875
2017-02-06,197.14581298828125
2017-02-07,197.1544189453125
2017-02-08,197.41282653808594
2017-02-09,198.58399963378906
2017-02-10,199.3676300048828
2017-02-13,200.4526824951172
2017-02-14,201.25360107421875
2017-02-15,202.30419921875
2017-02-16,202.13198852539062
2017-02-17,202.45059204101562
2017-02-21,203.65625
2017-02-22,203.4753875732422
2017-02-23,203.6131591796875
2017-02-24,203.87152099609375
2017-02-27,204.190185546875
2017-02-28,203.63900756835938
2017-03-01,206.4894561767578
2017-03-02,205.18907165527344
2017-03-03,205.3182373046875
2017-03-06,204.70687866210938
2017-03-07,204.095458984375
2017-03-08,203.7164764404297
2017-03-09,203.97491455078125
2017-03-10,204.68960571289062
2017-03-13,204.79296875
2017-03-14,204.00929260253906
2017-03-15,205.77467346191406
2017-03-16,205.3699188232422
2017-03-17,205.0093231201172
2017-03-20,204.7843780517578
2017-03-21,202.15505981445312
2017-03-22,202.63075256347656
2017-03-23,202.41453552246094
2017-03-24,202.2675018310547
2017-03-27,202.05990600585938
2017-03-28,203.5303192138672
2017-03-29,203.7205352783203
2017-03-30,204.3692169189453
2017-03-31,203.8934783935547
2017-04-03,203.53892517089844
2017-04-04,203.66860961914062
2017-04-05,203.063232421875
2017-04-06,203.63409423828125
2017-04-07,203.42649841308594
2017-04-10,203.5475616455078
2017-04-11,203.305419921875
2017-04-12,202.41453552246094
2017-04-13,201.09988403320312
2017-04-17,202.88157653808594
2017-04-18,202.27613830566406
2017-04-19,201.90419006347656
2017-04-20,203.5475616455078
2017-04-21,202.89889526367188
2017-04-24,205.13038635253906
2017-04-25,206.32388305664062
2017-04-26,206.1941680908203
2017-04-27,206.3671417236328
2017-04-28,205.91744995117188
2017-05-01,206.4364013671875
2017-05-02,206.51419067382812
2017-05-03,206.26336669921875
2017-05-04,206.50550842285156
2017-05-05,207.3185577392578
2017-05-08,207.28399658203125
2017-05-09,207.09373474121094
2017-05-10,207.46559143066406
2017-05-11,207.04176330566406
2017-05-12,206.69581604003906
2017-05-15,207.83755493164062
2017-05-16,207.647216796875
2017-05-17,203.9627227783203
2017-05-18,204.7843780517578
2017-05-19,206.11631774902344
2017-05-22,207.16285705566406
2017-05-23,207.6212921142578
2017-05-24,208.10560607910156
2017-05-25,209.10025024414062
2017-05-26,209.0570526123047
2017-05-30,208.87542724609375
2017-05-31,208.82347106933594
2017-06-01,210.48411560058594
2017-06-02,211.18472290039062
2017-06-05,211.029052734375
2017-06-06,210.35440063476562
2017-06-07,210.74363708496094
2017-06-08,210.84739685058594
2017-06-09,210.5273895263672
2017-06-12,210.48411560058594
2017-06-13,211.51339721679688
2017-06-14,211.24526977539062
2017-06-15,210.83868408203125
2017-06-16,210.88478088378906
2017-06-19,212.6404266357422
2017-06-20,211.2063751220703
2017-06-21,211.154296875
2017-06-22,211.0586700439453
2017-06-23,211.31068420410156
2017-06-26,211.44969177246094
2017-06-27,209.74623107910156
2017-06-28,211.62359619140625
2017-06-29,209.76361083984375
2017-06-30,210.15476989746094
2017-07-03,210.51112365722656
2017-07-05,210.997802734375
2017-07-06,209.068359375
2017-07-07,210.4241485595703
2017-07-10,210.65017700195312
2017-07-11,210.49371337890625
2017-07-12,212.0754852294922
2017-07-13,212.4318389892578
2017-07-14,213.42269897460938
2017-07-17,213.3966064453125
2017-07-18,213.50953674316406
2017-07-19,214.66552734375
2017-07-20,214.7611083984375
2017-07-21,214.56996154785156
2017-07-24,214.51776123046875
2017-07-25,215.03924560546875
2017-07-26,215.04791259765625
2017-07-27,214.8480682373047
2017-07-28,214.5959930419922
2017-07-31,214.47430419921875
2017-08-01,214.9523162841797
2017-08-02,215.05657958984375
2017-08-03,214.6394805908203
2017-08-04,215.03054809570312
2017-08-07,215.4303436279297
2017-08-08,214.90016174316406
2017-08-09,214.8915252685547
2017-08-10,211.85821533203125
2017-08-11,212.1710968017578
2017-08-14,214.2744140625
2017-08-15,214.2483673095703
2017-08-16,214.62210083007812
2017-08-17,211.27590942382812
2017-08-18,210.94561767578125
2017-08-21,211.11077880859375
2017-08-22,213.31837463378906
2017-08-23,212.55355834960938
2017-08-24,212.0581512451172
